timestamp,latency_ms
1756294042.9850178,-109.21
1756294043.1892931,-105.53
1756294043.3944361,-101.7
1756294044.6228178,-79.76
1756294044.829475,-23.68
1756294045.0318563,-22.02
1756294045.2368293,-17.75
1756294045.441509,-15.33
1756294046.6698196,7.77
1756294046.7574158,-55.0
1756294046.9766634,-37.82
1756294047.1814837,-34.17
1756294047.3860693,-29.84
1756294048.6139772,-9.89
1756294048.8190682,46.4
1756294049.0236442,50.02
1756294049.2284875,53.98
1756294049.4331152,56.68
1756294050.661564,73.82
1756294050.7489579,17.29
1756294050.969029,36.33
1756294051.1727068,39.5
1756294051.377745,41.87
1756294052.7085419,157.68
1756294052.7476664,53.86
1756294053.0151207,122.62
1756294053.2198105,126.18
1756294053.426492,132.25
1756294054.6530316,136.73
1756294054.7487013,90.78
1756294054.9597933,102.98
1756294055.164424,108.48
1756294055.369286,114.76
1756294056.6997473,220.53
1756294056.7495317,127.08
1756294057.0069346,186.8
1756294057.2117026,192.4
1756294057.4162512,198.5
1756294058.6443446,201.08
1756294058.8491528,263.74
1756294059.053798,270.73
1756294059.2582603,275.4
1756294059.3579533,175.88
1756294060.6915402,263.33
1756294060.7500143,201.16
1756294060.9982705,251.57
1756294061.203456,256.57
1756294061.4078908,262.92
1756294062.63589,248.97
1756294062.840791,303.17
1756294063.0454211,335.57
1756294063.2516277,340.93
1756294063.4543622,346.56
1756294064.6838071,338.06
1756294064.7717292,275.09
1756294064.989902,292.64
1756294065.1955743,296.95
1756294065.400381,329.03
1756294065.9127834,358.5
1756294066.117525,347.16
1756294066.3235078,359.3
1756294066.6301458,325.5
1756294066.8355234,378.99
1756294067.0401092,384.04
1756294067.2463052,388.66
1756294067.4500604,390.35
1756294068.6802258,415.26
1756294068.7684407,353.64
1756294068.9875343,371.85
1756294069.1923563,374.76
1756294069.397249,379.8
1756294070.6274679,402.93
1756294070.8320045,457.92
1756294071.037484,462.54
1756294071.2419395,466.36
1756294071.447341,470.41
1756294072.676998,488.85
1756294072.76571,432.24
1756294072.9845264,449.94
1756294073.1900144,337.22
1756294073.3940773,338.83
1756294074.7283366,5.04
1756294074.765724,-99.96
1756294075.0357745,-28.98
1756294075.2386148,-27.1
1756294075.443584,-23.42
1756294076.6753778,-11.68
1756294076.7673976,-62.1
1756294076.9808173,-46.0
1756294077.1857007,-42.77
1756294077.3908126,-36.89
1756294078.7225828,71.27
1756294078.7705476,-24.43
1756294079.0301437,38.39
1756294079.2349117,41.91
1756294189.8169646,373.93
1756294189.9234521,376.53
1756294197.1882722,-91.84
1756294197.1890583,-91.2
1756294197.189581,-90.92
1756294197.1903682,-90.41
1756294197.1909146,-91.67
1756294197.1914008,-91.41
1756294197.1918557,-91.21
1756294197.1923153,-90.92
1756294197.192762,-91.33
1756294197.1932135,-91.09
1756294197.1936712,-90.83
1756294197.1941214,-90.54
1756294197.19463,-90.6
1756294197.1950862,-90.3
1756294197.1955717,-90.1
1756294197.1960428,-89.79
1756294197.196508,-89.5
1756294197.1969662,-89.51
